1464378167.714 2016-05-27 19:42:47 UTC 14614  [5748a337.3916:1] LOG:  database system was shut down at 2016-05-27 19:42:32 UTC
1464385409.886 2016-05-27 21:43:29 UTC 14615  [5748a337.3917:35] LOG:  checkpoint starting: immediate force wait
1464385409.984 2016-05-27 21:43:29 UTC 14615  [5748a337.3917:36] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 7 removed, 17 recycled; write=0.076 s, sync=0.000 s, total=0.097 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=2541967 kB
1464386010.091 2016-05-27 21:53:30 UTC 14615  [5748a337.3917:37] LOG:  checkpoint starting: time
1464386311.111 2016-05-27 21:58:31 UTC 14615  [5748a337.3917:38] LOG:  checkpoint complete: wrote 108617 buffers (5.2%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=299.986 s, sync=0.993 s, total=301.019 s; sync files=20, longest=0.989 s, average=0.049 s; distance=3651772 kB, estimate=3651772 kB
1464386610.215 2016-05-27 22:03:30 UTC 14615  [5748a337.3917:39] LOG:  checkpoint starting: time
1464386911.135 2016-05-27 22:08:31 UTC 14615  [5748a337.3917:40] LOG:  checkpoint complete: wrote 110715 buffers (5.3%); 0 transaction log file(s) added, 0 removed, 223 recycled; write=299.861 s, sync=0.850 s, total=300.919 s; sync files=17, longest=0.847 s, average=0.050 s; distance=3655804 kB, estimate=3655804 kB
1464387210.087 2016-05-27 22:13:30 UTC 14615  [5748a337.3917:41] LOG:  checkpoint starting: immediate force wait time
1464387211.698 2016-05-27 22:13:31 UTC 14615  [5748a337.3917:42] LOG:  checkpoint complete: wrote 118118 buffers (5.6%); 0 transaction log file(s) added, 0 removed, 223 recycled; write=1.398 s, sync=0.000 s, total=1.611 s; sync files=19, longest=0.000 s, average=0.000 s; distance=3653647 kB, estimate=3655588 kB
1464387810.728 2016-05-27 22:23:30 UTC 14615  [5748a337.3917:43] LOG:  checkpoint starting: time
1464388110.217 2016-05-27 22:28:30 UTC 14615  [5748a337.3917:44] LOG:  checkpoint complete: wrote 58572 buffers (2.8%); 0 transaction log file(s) added, 10 removed, 213 recycled; write=299.353 s, sync=0.000 s, total=299.489 s; sync files=15, longest=0.000 s, average=0.000 s; distance=400315 kB, estimate=3330061 kB
1464388112.275 2016-05-27 22:28:32 UTC 14615  [5748a337.3917:45] LOG:  checkpoint starting: immediate force wait
1464388112.365 2016-05-27 22:28:32 UTC 14615  [5748a337.3917:46] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 25 removed, 0 recycled; write=0.072 s, sync=0.000 s, total=0.089 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=2997055 kB
1464388712.480 2016-05-27 22:38:32 UTC 14615  [5748a337.3917:47] LOG:  checkpoint starting: time
1464389012.109 2016-05-27 22:43:32 UTC 14615  [5748a337.3917:48] LOG:  checkpoint complete: wrote 103440 buffers (4.9%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=299.569 s, sync=0.021 s, total=299.629 s; sync files=20, longest=0.019 s, average=0.001 s; distance=3484583 kB, estimate=3484583 kB
1464389312.211 2016-05-27 22:48:32 UTC 14615  [5748a337.3917:49] LOG:  checkpoint starting: time
1464389612.582 2016-05-27 22:53:32 UTC 14615  [5748a337.3917:50] LOG:  checkpoint complete: wrote 104651 buffers (5.0%); 0 transaction log file(s) added, 0 removed, 212 recycled; write=299.809 s, sync=0.327 s, total=300.370 s; sync files=17, longest=0.326 s, average=0.019 s; distance=3450761 kB, estimate=3481201 kB
1464389912.684 2016-05-27 22:58:32 UTC 14615  [5748a337.3917:51] LOG:  checkpoint starting: time
1464389912.986 2016-05-27 22:58:32 UTC 14615  [5748a337.3917:52] LOG:  checkpoint complete: wrote 1 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 211 recycled; write=0.101 s, sync=0.006 s, total=0.302 s; sync files=1, longest=0.006 s, average=0.006 s; distance=3484344 kB, estimate=3484344 kB
1464389912.986 2016-05-27 22:58:32 UTC 14615  [5748a337.3917:53] LOG:  checkpoint starting: immediate force wait
1464389913.277 2016-05-27 22:58:33 UTC 14615  [5748a337.3917:54] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 14 removed, 199 recycled; write=0.076 s, sync=0.000 s, total=0.290 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=3135910 kB
1464389913.706 2016-05-27 22:58:33 UTC 14615  [5748a337.3917:55] LOG:  checkpoint starting: immediate force wait flush-all
1464389913.803 2016-05-27 22:58:33 UTC 14615  [5748a337.3917:56] LOG:  checkpoint complete: wrote 3 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.088 s, sync=0.004 s, total=0.096 s; sync files=3, longest=0.004 s, average=0.001 s; distance=2 kB, estimate=2822319 kB
1464389913.856 2016-05-27 22:58:33 UTC 14615  [5748a337.3917:57] LOG:  checkpoint starting: immediate force wait
1464389913.948 2016-05-27 22:58:33 UTC 14615  [5748a337.3917:58] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.090 s, sync=0.000 s, total=0.092 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=2540087 kB
1464390514.062 2016-05-27 23:08:34 UTC 14615  [5748a337.3917:59] LOG:  checkpoint starting: time
1464390726.838 2016-05-27 23:12:06 UTC 14615  [5748a337.3917:60] LOG:  checkpoint complete: wrote 2123 buffers (0.1%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=212.772 s, sync=0.001 s, total=212.776 s; sync files=44, longest=0.000 s, average=0.000 s; distance=3310 kB, estimate=2286409 kB
1464390820.102 2016-05-27 23:13:40 UTC 14615  [5748a337.3917:61] LOG:  checkpoint starting: immediate force wait
1464390820.200 2016-05-27 23:13:40 UTC 14615  [5748a337.3917:62] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.095 s, sync=0.000 s, total=0.097 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=2057768 kB
1464391420.300 2016-05-27 23:23:40 UTC 14615  [5748a337.3917:63] LOG:  checkpoint starting: time
1464391420.785 2016-05-27 23:23:40 UTC 14615  [5748a337.3917:64] LOG:  checkpoint complete: wrote 4 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.480 s, sync=0.000 s, total=0.484 s; sync files=4, longest=0.000 s, average=0.000 s; distance=12 kB, estimate=1851993 kB
1464391720.257 2016-05-27 23:28:40 UTC 14615  [5748a337.3917:65] LOG:  checkpoint starting: immediate force wait
1464391720.346 2016-05-27 23:28:40 UTC 14615  [5748a337.3917:66] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.087 s, sync=0.000 s, total=0.089 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=1666793 kB
1464392320.448 2016-05-27 23:38:40 UTC 14615  [5748a337.3917:67] LOG:  checkpoint starting: time
1464392620.127 2016-05-27 23:43:40 UTC 14615  [5748a337.3917:68] LOG:  checkpoint complete: wrote 63468 buffers (3.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=299.569 s, sync=0.102 s, total=299.679 s; sync files=21, longest=0.100 s, average=0.004 s; distance=781553 kB, estimate=1578269 kB
1464392920.228 2016-05-27 23:48:40 UTC 14615  [5748a337.3917:69] LOG:  checkpoint starting: time
1464393220.199 2016-05-27 23:53:40 UTC 14615  [5748a337.3917:70] LOG:  checkpoint complete: wrote 62170 buffers (3.0%); 0 transaction log file(s) added, 16 removed, 31 recycled; write=299.807 s, sync=0.103 s, total=299.971 s; sync files=16, longest=0.101 s, average=0.006 s; distance=768186 kB, estimate=1497261 kB
1464393520.299 2016-05-27 23:58:40 UTC 14615  [5748a337.3917:71] LOG:  checkpoint starting: time
1464393521.274 2016-05-27 23:58:41 UTC 14615  [5748a337.3917:72] LOG:  checkpoint complete: wrote 64205 buffers (3.1%); 0 transaction log file(s) added, 0 removed, 47 recycled; write=0.907 s, sync=0.001 s, total=0.974 s; sync files=16, longest=0.000 s, average=0.000 s; distance=791523 kB, estimate=1426687 kB
1464393521.274 2016-05-27 23:58:41 UTC 14615  [5748a337.3917:73] LOG:  checkpoint starting: immediate force wait
1464393521.421 2016-05-27 23:58:41 UTC 14615  [5748a337.3917:74] LOG:  checkpoint complete: wrote 10 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 49 recycled; write=0.078 s, sync=0.000 s, total=0.146 s; sync files=2, longest=0.000 s, average=0.000 s; distance=1696 kB, estimate=1284188 kB
1464394121.521 2016-05-28 00:08:41 UTC 14615  [5748a337.3917:75] LOG:  checkpoint starting: time
1464394421.007 2016-05-28 00:13:41 UTC 14615  [5748a337.3917:76] LOG:  checkpoint complete: wrote 58086 buffers (2.8%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=299.483 s, sync=0.000 s, total=299.485 s; sync files=15, longest=0.000 s, average=0.000 s; distance=391184 kB, estimate=1194888 kB
1464394421.574 2016-05-28 00:13:41 UTC 14615  [5748a337.3917:77] LOG:  checkpoint starting: immediate force wait
1464394421.660 2016-05-28 00:13:41 UTC 14615  [5748a337.3917:78] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 24 recycled; write=0.067 s, sync=0.000 s, total=0.086 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=1075399 kB
1464395021.765 2016-05-28 00:23:41 UTC 14615  [5748a337.3917:79] LOG:  checkpoint starting: time
1464395321.252 2016-05-28 00:28:41 UTC 14615  [5748a337.3917:80] LOG:  checkpoint complete: wrote 108292 buffers (5.2%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=299.262 s, sync=0.186 s, total=299.487 s; sync files=20, longest=0.184 s, average=0.009 s; distance=3481681 kB, estimate=3481681 kB
1464395621.355 2016-05-28 00:33:41 UTC 14615  [5748a337.3917:81] LOG:  checkpoint starting: time
1464395921.422 2016-05-28 00:38:41 UTC 14615  [5748a337.3917:82] LOG:  checkpoint complete: wrote 108471 buffers (5.2%); 0 transaction log file(s) added, 0 removed, 212 recycled; write=299.691 s, sync=0.199 s, total=300.066 s; sync files=17, longest=0.198 s, average=0.011 s; distance=3384347 kB, estimate=3471948 kB
1464396221.523 2016-05-28 00:43:41 UTC 14615  [5748a337.3917:83] LOG:  checkpoint starting: time
1464396223.223 2016-05-28 00:43:43 UTC 14615  [5748a337.3917:84] LOG:  checkpoint complete: wrote 112410 buffers (5.4%); 0 transaction log file(s) added, 0 removed, 207 recycled; write=1.494 s, sync=0.001 s, total=1.699 s; sync files=18, longest=0.000 s, average=0.000 s; distance=3316300 kB, estimate=3456383 kB
1464396223.223 2016-05-28 00:43:43 UTC 14615  [5748a337.3917:85] LOG:  checkpoint starting: immediate force wait
1464396223.534 2016-05-28 00:43:43 UTC 14615  [5748a337.3917:86] LOG:  checkpoint complete: wrote 64 buffers (0.0%); 0 transaction log file(s) added, 9 removed, 193 recycled; write=0.079 s, sync=0.000 s, total=0.310 s; sync files=2, longest=0.000 s, average=0.000 s; distance=34046 kB, estimate=3114149 kB
1464396823.632 2016-05-28 00:53:43 UTC 14615  [5748a337.3917:87] LOG:  checkpoint starting: time
1464397123.093 2016-05-28 00:58:43 UTC 14615  [5748a337.3917:88] LOG:  checkpoint complete: wrote 59354 buffers (2.8%); 0 transaction log file(s) added, 2 removed, 0 recycled; write=299.457 s, sync=0.000 s, total=299.461 s; sync files=15, longest=0.000 s, average=0.000 s; distance=402683 kB, estimate=2843003 kB
1464397124.172 2016-05-28 00:58:44 UTC 14615  [5748a337.3917:89] LOG:  checkpoint starting: immediate force wait
1464397124.259 2016-05-28 00:58:44 UTC 14615  [5748a337.3917:90] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 11 removed, 14 recycled; write=0.062 s, sync=0.000 s, total=0.086 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=2558703 kB
1464397724.362 2016-05-28 01:08:44 UTC 14615  [5748a337.3917:91] LOG:  checkpoint starting: time
1464398024.998 2016-05-28 01:13:44 UTC 14615  [5748a337.3917:92] LOG:  checkpoint complete: wrote 103837 buffers (5.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=299.720 s, sync=0.878 s, total=300.635 s; sync files=20, longest=0.877 s, average=0.043 s; distance=3437896 kB, estimate=3437896 kB
1464398325.101 2016-05-28 01:18:45 UTC 14615  [5748a337.3917:93] LOG:  checkpoint starting: time
1464398625.455 2016-05-28 01:23:45 UTC 14615  [5748a337.3917:94] LOG:  checkpoint complete: wrote 106706 buffers (5.1%); 0 transaction log file(s) added, 0 removed, 210 recycled; write=299.888 s, sync=0.181 s, total=300.353 s; sync files=15, longest=0.180 s, average=0.012 s; distance=3458472 kB, estimate=3458472 kB
1464398924.341 2016-05-28 01:28:44 UTC 14615  [5748a337.3917:95] LOG:  checkpoint starting: immediate force wait
1464398925.751 2016-05-28 01:28:45 UTC 14615  [5748a337.3917:96] LOG:  checkpoint complete: wrote 112100 buffers (5.3%); 0 transaction log file(s) added, 0 removed, 211 recycled; write=1.231 s, sync=0.001 s, total=1.409 s; sync files=16, longest=0.000 s, average=0.000 s; distance=3460951 kB, estimate=3460951 kB
1464399524.851 2016-05-28 01:38:44 UTC 14615  [5748a337.3917:97] LOG:  checkpoint starting: time
1464399824.148 2016-05-28 01:43:44 UTC 14615  [5748a337.3917:98] LOG:  checkpoint complete: wrote 58307 buffers (2.8%); 0 transaction log file(s) added, 9 removed, 202 recycled; write=299.151 s, sync=0.000 s, total=299.296 s; sync files=15, longest=0.000 s, average=0.000 s; distance=401730 kB, estimate=3155029 kB
1464399826.440 2016-05-28 01:43:46 UTC 14615  [5748a337.3917:99] LOG:  checkpoint starting: immediate force wait
1464399826.535 2016-05-28 01:43:46 UTC 14615  [5748a337.3917:100] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 20 removed, 4 recycled; write=0.077 s, sync=0.000 s, total=0.094 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=2839526 kB
1464400426.636 2016-05-28 01:53:46 UTC 14615  [5748a337.3917:101] LOG:  checkpoint starting: time
1464400726.652 2016-05-28 01:58:46 UTC 14615  [5748a337.3917:102] LOG:  checkpoint complete: wrote 103421 buffers (4.9%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=299.378 s, sync=0.590 s, total=300.016 s; sync files=20, longest=0.588 s, average=0.029 s; distance=3515730 kB, estimate=3515730 kB
1464401026.756 2016-05-28 02:03:46 UTC 14615  [5748a337.3917:103] LOG:  checkpoint starting: time
1464401326.797 2016-05-28 02:08:46 UTC 14615  [5748a337.3917:104] LOG:  checkpoint complete: wrote 105040 buffers (5.0%); 0 transaction log file(s) added, 0 removed, 215 recycled; write=299.310 s, sync=0.541 s, total=300.040 s; sync files=18, longest=0.541 s, average=0.030 s; distance=3479050 kB, estimate=3512062 kB
1464401626.781 2016-05-28 02:13:46 UTC 14615  [5748a337.3917:105] LOG:  checkpoint starting: immediate force wait time
1464401627.058 2016-05-28 02:13:47 UTC 14615  [5748a337.3917:106] LOG:  checkpoint complete: wrote 1 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 212 recycled; write=0.074 s, sync=0.008 s, total=0.276 s; sync files=1, longest=0.008 s, average=0.008 s; distance=3473292 kB, estimate=3508185 kB
1464401627.461 2016-05-28 02:13:47 UTC 14615  [5748a337.3917:107] LOG:  checkpoint starting: immediate force wait flush-all
1464401627.717 2016-05-28 02:13:47 UTC 14615  [5748a337.3917:108] LOG:  checkpoint complete: wrote 3 buffers (0.0%); 0 transaction log file(s) added, 15 removed, 197 recycled; write=0.071 s, sync=0.007 s, total=0.255 s; sync files=3, longest=0.007 s, average=0.002 s; distance=2 kB, estimate=3157367 kB
1464401627.809 2016-05-28 02:13:47 UTC 14615  [5748a337.3917:109] LOG:  checkpoint starting: immediate force wait
1464401627.887 2016-05-28 02:13:47 UTC 14615  [5748a337.3917:110] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.076 s, sync=0.000 s, total=0.077 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=2841630 kB
1464402228.000 2016-05-28 02:23:47 UTC 14615  [5748a337.3917:111] LOG:  checkpoint starting: time
1464402440.092 2016-05-28 02:27:20 UTC 14615  [5748a337.3917:112] LOG:  checkpoint complete: wrote 2123 buffers (0.1%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=212.088 s, sync=0.001 s, total=212.092 s; sync files=44, longest=0.000 s, average=0.000 s; distance=3310 kB, estimate=2557798 kB
1464402534.467 2016-05-28 02:28:54 UTC 14615  [5748a337.3917:113] LOG:  checkpoint starting: immediate force wait
1464402534.544 2016-05-28 02:28:54 UTC 14615  [5748a337.3917:114] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 1 removed, 0 recycled; write=0.073 s, sync=0.000 s, total=0.076 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=2302018 kB
1464403134.644 2016-05-28 02:38:54 UTC 14615  [5748a337.3917:115] LOG:  checkpoint starting: time
1464403135.122 2016-05-28 02:38:55 UTC 14615  [5748a337.3917:116] LOG:  checkpoint complete: wrote 4 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.475 s, sync=0.000 s, total=0.477 s; sync files=4, longest=0.000 s, average=0.000 s; distance=12 kB, estimate=2071817 kB
1464403434.653 2016-05-28 02:43:54 UTC 14615  [5748a337.3917:117] LOG:  checkpoint starting: immediate force wait
1464403434.724 2016-05-28 02:43:54 UTC 14615  [5748a337.3917:118] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.069 s, sync=0.000 s, total=0.070 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=1864636 kB
1464404034.825 2016-05-28 02:53:54 UTC 14615  [5748a337.3917:119] LOG:  checkpoint starting: time
1464404334.150 2016-05-28 02:58:54 UTC 14615  [5748a337.3917:120] LOG:  checkpoint complete: wrote 64009 buffers (3.1%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=299.216 s, sync=0.100 s, total=299.325 s; sync files=21, longest=0.098 s, average=0.004 s; distance=815103 kB, estimate=1759682 kB
1464404634.251 2016-05-28 03:03:54 UTC 14615  [5748a337.3917:121] LOG:  checkpoint starting: time
1464404934.229 2016-05-28 03:08:54 UTC 14615  [5748a337.3917:122] LOG:  checkpoint complete: wrote 63675 buffers (3.0%); 0 transaction log file(s) added, 19 removed, 30 recycled; write=299.819 s, sync=0.100 s, total=299.977 s; sync files=15, longest=0.099 s, average=0.006 s; distance=808608 kB, estimate=1664575 kB
1464405234.329 2016-05-28 03:13:54 UTC 14615  [5748a337.3917:123] LOG:  checkpoint starting: time
1464405235.516 2016-05-28 03:13:55 UTC 14615  [5748a337.3917:124] LOG:  checkpoint complete: wrote 64502 buffers (3.1%); 0 transaction log file(s) added, 0 removed, 50 recycled; write=1.118 s, sync=0.002 s, total=1.186 s; sync files=16, longest=0.000 s, average=0.000 s; distance=817670 kB, estimate=1579884 kB
1464405235.516 2016-05-28 03:13:55 UTC 14615  [5748a337.3917:125] LOG:  checkpoint starting: immediate force wait
1464405235.669 2016-05-28 03:13:55 UTC 14615  [5748a337.3917:126] LOG:  checkpoint complete: wrote 36 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 50 recycled; write=0.082 s, sync=0.000 s, total=0.152 s; sync files=3, longest=0.000 s, average=0.000 s; distance=6098 kB, estimate=1422506 kB
1464405835.769 2016-05-28 03:23:55 UTC 14615  [5748a337.3917:127] LOG:  checkpoint starting: time
