1464536555.583 2016-05-29 15:42:35 UTC 11259  [574b0deb.2bfb:1] LOG:  database system was shut down at 2016-05-29 15:42:20 UTC
1464536676.964 2016-05-29 15:44:36 UTC 11260  [574b0deb.2bfc:12] LOG:  checkpoint complete: wrote 1 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.078 s, sync=0.000 s, total=0.081 s; sync files=1, longest=0.000 s, average=0.000 s; distance=1 kB, estimate=1 kB
1464536677.001 2016-05-29 15:44:36 UTC 11260  [574b0deb.2bfc:13] LOG:  checkpoint starting: immediate force wait flush-all
1464536677.070 2016-05-29 15:44:37 UTC 11260  [574b0deb.2bfc:14] LOG:  checkpoint complete: wrote 3 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.066 s, sync=0.000 s, total=0.069 s; sync files=3, longest=0.000 s, average=0.000 s; distance=2 kB, estimate=2 kB
1464536677.139 2016-05-29 15:44:37 UTC 11260  [574b0deb.2bfc:15] LOG:  checkpoint starting: immediate force wait
1464536677.209 2016-05-29 15:44:37 UTC 11260  [574b0deb.2bfc:16] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.068 s, sync=0.000 s, total=0.069 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=2 kB
1464537277.326 2016-05-29 15:54:37 UTC 11260  [574b0deb.2bfc:17] LOG:  checkpoint starting: time
1464537489.950 2016-05-29 15:58:09 UTC 11260  [574b0deb.2bfc:18] LOG:  checkpoint complete: wrote 2123 buffers (0.1%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=212.618 s, sync=0.003 s, total=212.623 s; sync files=44, longest=0.000 s, average=0.000 s; distance=3310 kB, estimate=3310 kB
1464537584.293 2016-05-29 15:59:44 UTC 11260  [574b0deb.2bfc:19] LOG:  checkpoint starting: immediate force wait
1464537584.365 2016-05-29 15:59:44 UTC 11260  [574b0deb.2bfc:20] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.071 s, sync=0.000 s, total=0.072 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=2979 kB
1464538184.466 2016-05-29 16:09:44 UTC 11260  [574b0deb.2bfc:21] LOG:  checkpoint starting: time
1464538184.939 2016-05-29 16:09:44 UTC 11260  [574b0deb.2bfc:22] LOG:  checkpoint complete: wrote 4 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.470 s, sync=0.000 s, total=0.473 s; sync files=4, longest=0.000 s, average=0.000 s; distance=12 kB, estimate=2683 kB
1464538484.481 2016-05-29 16:14:44 UTC 11260  [574b0deb.2bfc:23] LOG:  checkpoint starting: immediate force wait
1464538484.553 2016-05-29 16:14:44 UTC 11260  [574b0deb.2bfc:24] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.070 s, sync=0.000 s, total=0.072 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=2414 kB
1464539084.654 2016-05-29 16:24:44 UTC 11260  [574b0deb.2bfc:25] LOG:  checkpoint starting: time
1464539384.030 2016-05-29 16:29:44 UTC 11260  [574b0deb.2bfc:26] LOG:  checkpoint complete: wrote 61155 buffers (2.9%); 1 transaction log file(s) added, 0 removed, 0 recycled; write=299.346 s, sync=0.002 s, total=299.376 s; sync files=21, longest=0.000 s, average=0.000 s; distance=638809 kB, estimate=638809 kB
1464539684.131 2016-05-29 16:34:44 UTC 11260  [574b0deb.2bfc:27] LOG:  checkpoint starting: time
1464539984.051 2016-05-29 16:39:44 UTC 11260  [574b0deb.2bfc:28] LOG:  checkpoint complete: wrote 56132 buffers (2.7%); 0 transaction log file(s) added, 0 removed, 39 recycled; write=299.891 s, sync=0.001 s, total=299.920 s; sync files=16, longest=0.001 s, average=0.000 s; distance=592017 kB, estimate=634130 kB
1464540284.152 2016-05-29 16:44:44 UTC 11260  [574b0deb.2bfc:29] LOG:  checkpoint starting: time
1464540285.392 2016-05-29 16:44:45 UTC 11260  [574b0deb.2bfc:30] LOG:  checkpoint complete: wrote 57668 buffers (2.7%); 0 transaction log file(s) added, 0 removed, 36 recycled; write=1.214 s, sync=0.001 s, total=1.240 s; sync files=17, longest=0.000 s, average=0.000 s; distance=595070 kB, estimate=630224 kB
1464540285.392 2016-05-29 16:44:45 UTC 11260  [574b0deb.2bfc:31] LOG:  checkpoint starting: immediate force wait
1464540285.493 2016-05-29 16:44:45 UTC 11260  [574b0deb.2bfc:32] LOG:  checkpoint complete: wrote 38 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 36 recycled; write=0.075 s, sync=0.000 s, total=0.101 s; sync files=4, longest=0.000 s, average=0.000 s; distance=4930 kB, estimate=567695 kB
1464540885.594 2016-05-29 16:54:45 UTC 11260  [574b0deb.2bfc:33] LOG:  checkpoint starting: time
1464541185.081 2016-05-29 16:59:45 UTC 11260  [574b0deb.2bfc:34] LOG:  checkpoint complete: wrote 57701 buffers (2.8%); 0 transaction log file(s) added, 0 removed, 1 recycled; write=299.482 s, sync=0.000 s, total=299.487 s; sync files=15, longest=0.000 s, average=0.000 s; distance=391581 kB, estimate=550083 kB
1464541185.832 2016-05-29 16:59:45 UTC 11260  [574b0deb.2bfc:35] LOG:  checkpoint starting: immediate force wait
1464541185.935 2016-05-29 16:59:45 UTC 11260  [574b0deb.2bfc:36] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 24 recycled; write=0.084 s, sync=0.000 s, total=0.103 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=495075 kB
1464541786.038 2016-05-29 17:09:46 UTC 11260  [574b0deb.2bfc:37] LOG:  checkpoint starting: time
1464542086.080 2016-05-29 17:14:46 UTC 11260  [574b0deb.2bfc:38] LOG:  checkpoint complete: wrote 92276 buffers (4.4%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=300.002 s, sync=0.003 s, total=300.041 s; sync files=20, longest=0.001 s, average=0.000 s; distance=2505484 kB, estimate=2505484 kB
1464542386.179 2016-05-29 17:19:46 UTC 11260  [574b0deb.2bfc:39] LOG:  checkpoint starting: time
1464542686.215 2016-05-29 17:24:46 UTC 11260  [574b0deb.2bfc:40] LOG:  checkpoint complete: wrote 92339 buffers (4.4%); 0 transaction log file(s) added, 0 removed, 153 recycled; write=299.871 s, sync=0.011 s, total=300.035 s; sync files=17, longest=0.005 s, average=0.000 s; distance=2453036 kB, estimate=2500239 kB
1464542986.155 2016-05-29 17:29:46 UTC 11260  [574b0deb.2bfc:41] LOG:  checkpoint starting: immediate force wait time
1464542987.275 2016-05-29 17:29:47 UTC 11260  [574b0deb.2bfc:42] LOG:  checkpoint complete: wrote 94714 buffers (4.5%); 0 transaction log file(s) added, 0 removed, 149 recycled; write=0.995 s, sync=0.000 s, total=1.119 s; sync files=15, longest=0.000 s, average=0.000 s; distance=2434067 kB, estimate=2493622 kB
1464543586.375 2016-05-29 17:39:46 UTC 11260  [574b0deb.2bfc:43] LOG:  checkpoint starting: time
1464543886.205 2016-05-29 17:44:46 UTC 11260  [574b0deb.2bfc:44] LOG:  checkpoint complete: wrote 58950 buffers (2.8%); 0 transaction log file(s) added, 0 removed, 149 recycled; write=299.679 s, sync=0.001 s, total=299.829 s; sync files=15, longest=0.000 s, average=0.000 s; distance=402893 kB, estimate=2284549 kB
1464543887.885 2016-05-29 17:44:47 UTC 11260  [574b0deb.2bfc:45] LOG:  checkpoint starting: immediate force wait
1464543887.966 2016-05-29 17:44:47 UTC 11260  [574b0deb.2bfc:46] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 24 recycled; write=0.050 s, sync=0.000 s, total=0.080 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=2056094 kB
1464544488.072 2016-05-29 17:54:48 UTC 11260  [574b0deb.2bfc:47] LOG:  checkpoint starting: time
1464544788.064 2016-05-29 17:59:48 UTC 11260  [574b0deb.2bfc:48] LOG:  checkpoint complete: wrote 113998 buffers (5.4%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=299.941 s, sync=0.009 s, total=299.992 s; sync files=20, longest=0.008 s, average=0.000 s; distance=3861849 kB, estimate=3861849 kB
1464545088.165 2016-05-29 18:04:48 UTC 11260  [574b0deb.2bfc:49] LOG:  checkpoint starting: time
1464545388.201 2016-05-29 18:09:48 UTC 11260  [574b0deb.2bfc:50] LOG:  checkpoint complete: wrote 114501 buffers (5.5%); 0 transaction log file(s) added, 0 removed, 236 recycled; write=299.863 s, sync=0.004 s, total=300.036 s; sync files=17, longest=0.002 s, average=0.000 s; distance=3830372 kB, estimate=3858701 kB
1464545688.084 2016-05-29 18:14:48 UTC 11260  [574b0deb.2bfc:51] LOG:  checkpoint starting: immediate force wait time
1464545689.957 2016-05-29 18:14:49 UTC 11260  [574b0deb.2bfc:52] LOG:  checkpoint complete: wrote 120335 buffers (5.7%); 0 transaction log file(s) added, 0 removed, 234 recycled; write=1.632 s, sync=0.000 s, total=1.872 s; sync files=18, longest=0.000 s, average=0.000 s; distance=3789398 kB, estimate=3851771 kB
1464546289.053 2016-05-29 18:24:49 UTC 11260  [574b0deb.2bfc:53] LOG:  checkpoint starting: time
1464546589.395 2016-05-29 18:29:49 UTC 11260  [574b0deb.2bfc:54] LOG:  checkpoint complete: wrote 60223 buffers (2.9%); 0 transaction log file(s) added, 8 removed, 223 recycled; write=300.034 s, sync=0.001 s, total=300.341 s; sync files=15, longest=0.000 s, average=0.000 s; distance=399025 kB, estimate=3506496 kB
1464546590.653 2016-05-29 18:29:50 UTC 11260  [574b0deb.2bfc:55] LOG:  checkpoint starting: immediate force wait
1464546590.786 2016-05-29 18:29:50 UTC 11260  [574b0deb.2bfc:56] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 25 removed, 0 recycled; write=0.103 s, sync=0.000 s, total=0.132 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=3155847 kB
1464547190.893 2016-05-29 18:39:50 UTC 11260  [574b0deb.2bfc:57] LOG:  checkpoint starting: time
1464547490.093 2016-05-29 18:44:50 UTC 11260  [574b0deb.2bfc:58] LOG:  checkpoint complete: wrote 116034 buffers (5.5%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=299.153 s, sync=0.005 s, total=299.199 s; sync files=20, longest=0.004 s, average=0.000 s; distance=4227918 kB, estimate=4227918 kB
1464547790.197 2016-05-29 18:49:50 UTC 11260  [574b0deb.2bfc:59] LOG:  checkpoint starting: time
1464548090.337 2016-05-29 18:54:50 UTC 11260  [574b0deb.2bfc:60] LOG:  checkpoint complete: wrote 119135 buffers (5.7%); 0 transaction log file(s) added, 0 removed, 258 recycled; write=299.861 s, sync=0.015 s, total=300.140 s; sync files=18, longest=0.009 s, average=0.000 s; distance=4225138 kB, estimate=4227640 kB
1464548390.441 2016-05-29 18:59:50 UTC 11260  [574b0deb.2bfc:61] LOG:  checkpoint starting: time
1464548391.546 2016-05-29 18:59:51 UTC 11260  [574b0deb.2bfc:62] LOG:  checkpoint complete: wrote 1906 buffers (0.1%); 0 transaction log file(s) added, 0 removed, 258 recycled; write=0.817 s, sync=0.000 s, total=1.104 s; sync files=0, longest=0.000 s, average=0.000 s; distance=4223844 kB, estimate=4227260 kB
1464548391.546 2016-05-29 18:59:51 UTC 11260  [574b0deb.2bfc:63] LOG:  checkpoint starting: immediate force wait
1464548392.009 2016-05-29 18:59:52 UTC 11260  [574b0deb.2bfc:64] LOG:  checkpoint complete: wrote 1 buffers (0.0%); 0 transaction log file(s) added, 16 removed, 241 recycled; write=0.078 s, sync=0.000 s, total=0.462 s; sync files=1, longest=0.000 s, average=0.000 s; distance=50107 kB, estimate=3809545 kB
1464548392.505 2016-05-29 18:59:52 UTC 11260  [574b0deb.2bfc:65] LOG:  checkpoint starting: immediate force wait flush-all
1464548392.603 2016-05-29 18:59:52 UTC 11260  [574b0deb.2bfc:66] LOG:  checkpoint complete: wrote 3 buffers (0.0%); 0 transaction log file(s) added, 3 removed, 0 recycled; write=0.066 s, sync=0.000 s, total=0.097 s; sync files=3, longest=0.000 s, average=0.000 s; distance=2 kB, estimate=3428591 kB
1464548392.644 2016-05-29 18:59:52 UTC 11260  [574b0deb.2bfc:67] LOG:  checkpoint starting: immediate force wait
1464548392.713 2016-05-29 18:59:52 UTC 11260  [574b0deb.2bfc:68] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.067 s, sync=0.000 s, total=0.068 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=3085732 kB
1464548992.833 2016-05-29 19:09:52 UTC 11260  [574b0deb.2bfc:69] LOG:  checkpoint starting: time
1464549205.023 2016-05-29 19:13:25 UTC 11260  [574b0deb.2bfc:70] LOG:  checkpoint complete: wrote 2123 buffers (0.1%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=212.186 s, sync=0.001 s, total=212.189 s; sync files=44, longest=0.000 s, average=0.000 s; distance=3310 kB, estimate=2777490 kB
1464549299.619 2016-05-29 19:14:59 UTC 11260  [574b0deb.2bfc:71] LOG:  checkpoint starting: immediate force wait
1464549299.694 2016-05-29 19:14:59 UTC 11260  [574b0deb.2bfc:72] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 1 removed, 0 recycled; write=0.070 s, sync=0.000 s, total=0.075 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=2499741 kB
1464549899.795 2016-05-29 19:24:59 UTC 11260  [574b0deb.2bfc:73] LOG:  checkpoint starting: time
1464549900.279 2016-05-29 19:25:00 UTC 11260  [574b0deb.2bfc:74] LOG:  checkpoint complete: wrote 4 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.481 s, sync=0.000 s, total=0.484 s; sync files=4, longest=0.000 s, average=0.000 s; distance=12 kB, estimate=2249768 kB
1464550199.834 2016-05-29 19:29:59 UTC 11260  [574b0deb.2bfc:75] LOG:  checkpoint starting: immediate force wait
1464550199.904 2016-05-29 19:29:59 UTC 11260  [574b0deb.2bfc:76] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.067 s, sync=0.000 s, total=0.069 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=2024791 kB
1464550800.000 2016-05-29 19:39:59 UTC 11260  [574b0deb.2bfc:77] LOG:  checkpoint starting: time
1464551099.021 2016-05-29 19:44:59 UTC 11260  [574b0deb.2bfc:78] LOG:  checkpoint complete: wrote 61186 buffers (2.9%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=299.013 s, sync=0.002 s, total=299.020 s; sync files=21, longest=0.001 s, average=0.000 s; distance=639094 kB, estimate=1886221 kB
1464551399.117 2016-05-29 19:49:59 UTC 11260  [574b0deb.2bfc:79] LOG:  checkpoint starting: time
1464551699.049 2016-05-29 19:54:59 UTC 11260  [574b0deb.2bfc:80] LOG:  checkpoint complete: wrote 56221 buffers (2.7%); 0 transaction log file(s) added, 39 removed, 0 recycled; write=299.894 s, sync=0.001 s, total=299.931 s; sync files=14, longest=0.000 s, average=0.000 s; distance=583888 kB, estimate=1755988 kB
1464551999.150 2016-05-29 19:59:59 UTC 11260  [574b0deb.2bfc:81] LOG:  checkpoint starting: time
1464552000.660 2016-05-29 20:00:00 UTC 11260  [574b0deb.2bfc:82] LOG:  checkpoint complete: wrote 57830 buffers (2.8%); 0 transaction log file(s) added, 35 removed, 0 recycled; write=1.481 s, sync=0.001 s, total=1.510 s; sync files=15, longest=0.000 s, average=0.000 s; distance=600055 kB, estimate=1640395 kB
1464552000.660 2016-05-29 20:00:00 UTC 11260  [574b0deb.2bfc:83] LOG:  checkpoint starting: immediate force wait
1464552000.765 2016-05-29 20:00:00 UTC 11260  [574b0deb.2bfc:84] LOG:  checkpoint complete: wrote 35 buffers (0.0%); 0 transaction log file(s) added, 37 removed, 0 recycled; write=0.065 s, sync=0.000 s, total=0.104 s; sync files=5, longest=0.000 s, average=0.000 s; distance=8212 kB, estimate=1477176 kB
1464552600.861 2016-05-29 20:10:00 UTC 11260  [574b0deb.2bfc:85] LOG:  checkpoint starting: time
1464552900.058 2016-05-29 20:15:00 UTC 11260  [574b0deb.2bfc:86] LOG:  checkpoint complete: wrote 57673 buffers (2.8%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=299.193 s, sync=0.000 s, total=299.196 s; sync files=12, longest=0.000 s, average=0.000 s; distance=391791 kB, estimate=1368638 kB
1464552900.957 2016-05-29 20:15:00 UTC 11260  [574b0deb.2bfc:87] LOG:  checkpoint starting: immediate force wait
1464552901.058 2016-05-29 20:15:01 UTC 11260  [574b0deb.2bfc:88] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 15 removed, 9 recycled; write=0.064 s, sync=0.000 s, total=0.100 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=1231774 kB
1464553500.163 2016-05-29 20:25:00 UTC 11260  [574b0deb.2bfc:89] LOG:  checkpoint starting: time
1464553800.094 2016-05-29 20:30:00 UTC 11260  [574b0deb.2bfc:90] LOG:  checkpoint complete: wrote 92299 buffers (4.4%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=299.890 s, sync=0.003 s, total=299.930 s; sync files=18, longest=0.002 s, average=0.000 s; distance=2499752 kB, estimate=2499752 kB
1464554100.196 2016-05-29 20:35:00 UTC 11260  [574b0deb.2bfc:91] LOG:  checkpoint starting: time
1464554400.201 2016-05-29 20:40:00 UTC 11260  [574b0deb.2bfc:92] LOG:  checkpoint complete: wrote 92365 buffers (4.4%); 0 transaction log file(s) added, 0 removed, 153 recycled; write=299.831 s, sync=0.007 s, total=300.005 s; sync files=15, longest=0.006 s, average=0.000 s; distance=2450975 kB, estimate=2494874 kB
1464554700.303 2016-05-29 20:45:00 UTC 11260  [574b0deb.2bfc:93] LOG:  checkpoint starting: time
1464554702.414 2016-05-29 20:45:02 UTC 11260  [574b0deb.2bfc:94] LOG:  checkpoint complete: wrote 94360 buffers (4.5%); 0 transaction log file(s) added, 0 removed, 149 recycled; write=1.897 s, sync=0.032 s, total=2.111 s; sync files=15, longest=0.030 s, average=0.002 s; distance=2432630 kB, estimate=2488650 kB
1464554702.415 2016-05-29 20:45:02 UTC 11260  [574b0deb.2bfc:95] LOG:  checkpoint starting: immediate force wait
1464554702.669 2016-05-29 20:45:02 UTC 11260  [574b0deb.2bfc:96] LOG:  checkpoint complete: wrote 112 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 149 recycled; write=0.057 s, sync=0.000 s, total=0.254 s; sync files=5, longest=0.000 s, average=0.000 s; distance=60844 kB, estimate=2245869 kB
1464555302.769 2016-05-29 20:55:02 UTC 11260  [574b0deb.2bfc:97] LOG:  checkpoint starting: time
1464555602.012 2016-05-29 21:00:02 UTC 11260  [574b0deb.2bfc:98] LOG:  checkpoint complete: wrote 58967 buffers (2.8%); 0 transaction log file(s) added, 0 removed, 4 recycled; write=299.233 s, sync=0.000 s, total=299.242 s; sync files=15, longest=0.000 s, average=0.000 s; distance=402751 kB, estimate=2061557 kB
1464555603.235 2016-05-29 21:00:03 UTC 11260  [574b0deb.2bfc:99] LOG:  checkpoint starting: immediate force wait
1464555603.355 2016-05-29 21:00:03 UTC 11260  [574b0deb.2bfc:100] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 24 recycled; write=0.081 s, sync=0.000 s, total=0.119 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=1855402 kB
1464556203.458 2016-05-29 21:10:03 UTC 11260  [574b0deb.2bfc:101] LOG:  checkpoint starting: time
1464556503.091 2016-05-29 21:15:03 UTC 11260  [574b0deb.2bfc:102] LOG:  checkpoint complete: wrote 113688 buffers (5.4%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=299.588 s, sync=0.004 s, total=299.632 s; sync files=18, longest=0.003 s, average=0.000 s; distance=3872562 kB, estimate=3872562 kB
1464556803.193 2016-05-29 21:20:03 UTC 11260  [574b0deb.2bfc:103] LOG:  checkpoint starting: time
1464557103.201 2016-05-29 21:25:03 UTC 11260  [574b0deb.2bfc:104] LOG:  checkpoint complete: wrote 114959 buffers (5.5%); 0 transaction log file(s) added, 0 removed, 237 recycled; write=299.827 s, sync=0.009 s, total=300.008 s; sync files=15, longest=0.008 s, average=0.000 s; distance=3821650 kB, estimate=3867471 kB
1464557403.301 2016-05-29 21:30:03 UTC 11260  [574b0deb.2bfc:105] LOG:  checkpoint starting: time
1464557405.029 2016-05-29 21:30:05 UTC 11260  [574b0deb.2bfc:106] LOG:  checkpoint complete: wrote 121105 buffers (5.8%); 0 transaction log file(s) added, 0 removed, 233 recycled; write=1.489 s, sync=0.000 s, total=1.727 s; sync files=17, longest=0.000 s, average=0.000 s; distance=3801564 kB, estimate=3860880 kB
1464557405.029 2016-05-29 21:30:05 UTC 11260  [574b0deb.2bfc:107] LOG:  checkpoint starting: immediate force wait
1464557405.426 2016-05-29 21:30:05 UTC 11260  [574b0deb.2bfc:108] LOG:  checkpoint complete: wrote 36 buffers (0.0%); 0 transaction log file(s) added, 15 removed, 217 recycled; write=0.054 s, sync=0.000 s, total=0.396 s; sync files=2, longest=0.000 s, average=0.000 s; distance=23855 kB, estimate=3477177 kB
1464558005.525 2016-05-29 21:40:05 UTC 11260  [574b0deb.2bfc:109] LOG:  checkpoint starting: time
1464558305.006 2016-05-29 21:45:05 UTC 11260  [574b0deb.2bfc:110] LOG:  checkpoint complete: wrote 60166 buffers (2.9%); 0 transaction log file(s) added, 1 removed, 0 recycled; write=299.474 s, sync=0.001 s, total=299.480 s; sync files=15, longest=0.000 s, average=0.000 s; distance=399782 kB, estimate=3169438 kB
1464558306.134 2016-05-29 21:45:06 UTC 11260  [574b0deb.2bfc:111] LOG:  checkpoint starting: immediate force wait
1464558306.219 2016-05-29 21:45:06 UTC 11260  [574b0deb.2bfc:112] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 25 removed, 0 recycled; write=0.056 s, sync=0.000 s, total=0.085 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=2852494 kB
1464558906.325 2016-05-29 21:55:06 UTC 11260  [574b0deb.2bfc:113] LOG:  checkpoint starting: time
1464559206.067 2016-05-29 22:00:06 UTC 11260  [574b0deb.2bfc:114] LOG:  checkpoint complete: wrote 115685 buffers (5.5%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=299.668 s, sync=0.021 s, total=299.741 s; sync files=20, longest=0.017 s, average=0.001 s; distance=4238536 kB, estimate=4238536 kB
1464559506.170 2016-05-29 22:05:06 UTC 11260  [574b0deb.2bfc:115] LOG:  checkpoint starting: time
1464559806.311 2016-05-29 22:10:06 UTC 11260  [574b0deb.2bfc:116] LOG:  checkpoint complete: wrote 118848 buffers (5.7%); 0 transaction log file(s) added, 0 removed, 258 recycled; write=299.897 s, sync=0.010 s, total=300.141 s; sync files=18, longest=0.008 s, average=0.000 s; distance=4237961 kB, estimate=4238479 kB
1464560106.411 2016-05-29 22:15:06 UTC 11260  [574b0deb.2bfc:117] LOG:  checkpoint starting: time
1464560106.975 2016-05-29 22:15:06 UTC 11260  [574b0deb.2bfc:118] LOG:  checkpoint complete: wrote 211 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 259 recycled; write=0.278 s, sync=0.000 s, total=0.563 s; sync files=0, longest=0.000 s, average=0.000 s; distance=4231985 kB, estimate=4237829 kB
1464560106.976 2016-05-29 22:15:06 UTC 11260  [574b0deb.2bfc:119] LOG:  checkpoint starting: immediate force wait
1464560107.434 2016-05-29 22:15:07 UTC 11260  [574b0deb.2bfc:120] LOG:  checkpoint complete: wrote 1 buffers (0.0%); 0 transaction log file(s) added, 17 removed, 241 recycled; write=0.061 s, sync=0.000 s, total=0.458 s; sync files=1, longest=0.000 s, average=0.000 s; distance=2 kB, estimate=3814046 kB
1464560107.906 2016-05-29 22:15:07 UTC 11260  [574b0deb.2bfc:121] LOG:  checkpoint starting: immediate force wait flush-all
1464560108.007 2016-05-29 22:15:08 UTC 11260  [574b0deb.2bfc:122] LOG:  checkpoint complete: wrote 3 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.053 s, sync=0.000 s, total=0.101 s; sync files=3, longest=0.000 s, average=0.000 s; distance=2 kB, estimate=3432642 kB
1464560108.147 2016-05-29 22:15:08 UTC 11260  [574b0deb.2bfc:123] LOG:  checkpoint starting: immediate force wait
