1464698282.799 2016-05-31 12:38:02 UTC 3336  [574d85aa.d08:1] LOG:  database system was shut down at 2016-05-31 12:37:50 UTC
1464703710.087 2016-05-31 14:08:30 UTC 3337  [574d85aa.d09:26] LOG:  checkpoint complete: wrote 108017 buffers (5.2%); 1 transaction log file(s) added, 0 removed, 0 recycled; write=299.745 s, sync=0.003 s, total=299.815 s; sync files=20, longest=0.002 s, average=0.000 s; distance=3465453 kB, estimate=3465453 kB
1464704010.188 2016-05-31 14:13:30 UTC 3337  [574d85aa.d09:27] LOG:  checkpoint starting: time
1464704310.179 2016-05-31 14:18:30 UTC 3337  [574d85aa.d09:28] LOG:  checkpoint complete: wrote 109176 buffers (5.2%); 0 transaction log file(s) added, 0 removed, 212 recycled; write=299.799 s, sync=0.007 s, total=299.990 s; sync files=17, longest=0.006 s, average=0.000 s; distance=3406703 kB, estimate=3459578 kB
1464704610.276 2016-05-31 14:23:30 UTC 3337  [574d85aa.d09:29] LOG:  checkpoint starting: immediate force wait time
1464704611.910 2016-05-31 14:23:31 UTC 3337  [574d85aa.d09:30] LOG:  checkpoint complete: wrote 114660 buffers (5.5%); 0 transaction log file(s) added, 0 removed, 208 recycled; write=1.470 s, sync=0.000 s, total=1.634 s; sync files=18, longest=0.000 s, average=0.000 s; distance=3421121 kB, estimate=3455732 kB
1464705211.001 2016-05-31 14:33:30 UTC 3337  [574d85aa.d09:31] LOG:  checkpoint starting: time
1464705510.322 2016-05-31 14:38:30 UTC 3337  [574d85aa.d09:32] LOG:  checkpoint complete: wrote 59715 buffers (2.8%); 0 transaction log file(s) added, 8 removed, 201 recycled; write=299.076 s, sync=0.000 s, total=299.320 s; sync files=15, longest=0.000 s, average=0.000 s; distance=401915 kB, estimate=3150350 kB
1464705512.593 2016-05-31 14:38:32 UTC 3337  [574d85aa.d09:33] LOG:  checkpoint starting: immediate force wait
1464705512.680 2016-05-31 14:38:32 UTC 3337  [574d85aa.d09:34] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 18 removed, 6 recycled; write=0.061 s, sync=0.000 s, total=0.086 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=2835315 kB
1464706112.788 2016-05-31 14:48:32 UTC 3337  [574d85aa.d09:35] LOG:  checkpoint starting: time
1464706412.035 2016-05-31 14:53:32 UTC 3337  [574d85aa.d09:36] LOG:  checkpoint complete: wrote 112188 buffers (5.3%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=299.197 s, sync=0.005 s, total=299.246 s; sync files=20, longest=0.004 s, average=0.000 s; distance=3883527 kB, estimate=3883527 kB
1464706712.136 2016-05-31 14:58:32 UTC 3337  [574d85aa.d09:37] LOG:  checkpoint starting: time
1464707012.198 2016-05-31 15:03:32 UTC 3337  [574d85aa.d09:38] LOG:  checkpoint complete: wrote 116867 buffers (5.6%); 0 transaction log file(s) added, 0 removed, 237 recycled; write=299.857 s, sync=0.003 s, total=300.061 s; sync files=18, longest=0.002 s, average=0.000 s; distance=3905024 kB, estimate=3905024 kB
1464707312.301 2016-05-31 15:08:32 UTC 3337  [574d85aa.d09:39] LOG:  checkpoint starting: time
1464707314.394 2016-05-31 15:08:34 UTC 3337  [574d85aa.d09:40] LOG:  checkpoint complete: wrote 123672 buffers (5.9%); 0 transaction log file(s) added, 0 removed, 239 recycled; write=1.807 s, sync=0.001 s, total=2.093 s; sync files=18, longest=0.000 s, average=0.000 s; distance=3897977 kB, estimate=3904320 kB
1464707314.394 2016-05-31 15:08:34 UTC 3337  [574d85aa.d09:41] LOG:  checkpoint starting: immediate force wait
1464707314.822 2016-05-31 15:08:34 UTC 3337  [574d85aa.d09:42] LOG:  checkpoint complete: wrote 105 buffers (0.0%); 0 transaction log file(s) added, 15 removed, 222 recycled; write=0.062 s, sync=0.000 s, total=0.427 s; sync files=3, longest=0.000 s, average=0.000 s; distance=44276 kB, estimate=3518315 kB
1464707914.923 2016-05-31 15:18:34 UTC 3337  [574d85aa.d09:43] LOG:  checkpoint starting: time
1464708214.025 2016-05-31 15:23:34 UTC 3337  [574d85aa.d09:44] LOG:  checkpoint complete: wrote 60058 buffers (2.9%); 0 transaction log file(s) added, 3 removed, 0 recycled; write=299.096 s, sync=0.000 s, total=299.102 s; sync files=15, longest=0.000 s, average=0.000 s; distance=393895 kB, estimate=3205873 kB
1464708215.602 2016-05-31 15:23:35 UTC 3337  [574d85aa.d09:45] LOG:  checkpoint starting: immediate force wait
1464708215.664 2016-05-31 15:23:35 UTC 3337  [574d85aa.d09:46] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 24 removed, 0 recycled; write=0.046 s, sync=0.000 s, total=0.062 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=2885286 kB
1464708815.770 2016-05-31 15:33:35 UTC 3337  [574d85aa.d09:47] LOG:  checkpoint starting: time
1464709115.106 2016-05-31 15:38:35 UTC 3337  [574d85aa.d09:48] LOG:  checkpoint complete: wrote 112032 buffers (5.3%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=299.290 s, sync=0.001 s, total=299.336 s; sync files=21, longest=0.000 s, average=0.000 s; distance=4063101 kB, estimate=4063101 kB
1464709415.208 2016-05-31 15:43:35 UTC 3337  [574d85aa.d09:49] LOG:  checkpoint starting: time
1464709715.330 2016-05-31 15:48:35 UTC 3337  [574d85aa.d09:50] LOG:  checkpoint complete: wrote 117255 buffers (5.6%); 0 transaction log file(s) added, 0 removed, 248 recycled; write=299.856 s, sync=0.011 s, total=300.121 s; sync files=18, longest=0.011 s, average=0.000 s; distance=4066417 kB, estimate=4066417 kB
1464710015.434 2016-05-31 15:53:35 UTC 3337  [574d85aa.d09:51] LOG:  checkpoint starting: time
1464710016.287 2016-05-31 15:53:36 UTC 3337  [574d85aa.d09:52] LOG:  checkpoint complete: wrote 1282 buffers (0.1%); 0 transaction log file(s) added, 0 removed, 248 recycled; write=0.620 s, sync=0.000 s, total=0.852 s; sync files=0, longest=0.000 s, average=0.000 s; distance=4051184 kB, estimate=4064894 kB
1464710016.287 2016-05-31 15:53:36 UTC 3337  [574d85aa.d09:53] LOG:  checkpoint starting: immediate force wait
1464710016.665 2016-05-31 15:53:36 UTC 3337  [574d85aa.d09:54] LOG:  checkpoint complete: wrote 1 buffers (0.0%); 0 transaction log file(s) added, 17 removed, 231 recycled; write=0.077 s, sync=0.000 s, total=0.378 s; sync files=1, longest=0.000 s, average=0.000 s; distance=34469 kB, estimate=3661851 kB
1464710017.101 2016-05-31 15:53:37 UTC 3337  [574d85aa.d09:55] LOG:  checkpoint starting: immediate force wait flush-all
1464710017.171 2016-05-31 15:53:37 UTC 3337  [574d85aa.d09:56] LOG:  checkpoint complete: wrote 3 buffers (0.0%); 0 transaction log file(s) added, 2 removed, 0 recycled; write=0.065 s, sync=0.000 s, total=0.070 s; sync files=3, longest=0.000 s, average=0.000 s; distance=2 kB, estimate=3295666 kB
1464710017.234 2016-05-31 15:53:37 UTC 3337  [574d85aa.d09:57] LOG:  checkpoint starting: immediate force wait
1464710017.300 2016-05-31 15:53:37 UTC 3337  [574d85aa.d09:58] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.064 s, sync=0.000 s, total=0.066 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=2966100 kB
1464710617.377 2016-05-31 16:03:37 UTC 3337  [574d85aa.d09:59] LOG:  checkpoint starting: time
1464710829.941 2016-05-31 16:07:09 UTC 3337  [574d85aa.d09:60] LOG:  checkpoint complete: wrote 2123 buffers (0.1%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=212.559 s, sync=0.001 s, total=212.563 s; sync files=44, longest=0.000 s, average=0.000 s; distance=3310 kB, estimate=2669821 kB
1464710924.133 2016-05-31 16:08:44 UTC 3337  [574d85aa.d09:61] LOG:  checkpoint starting: immediate force wait
1464710924.182 2016-05-31 16:08:44 UTC 3337  [574d85aa.d09:62] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.047 s, sync=0.000 s, total=0.049 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=2402839 kB
1464711524.283 2016-05-31 16:18:44 UTC 3337  [574d85aa.d09:63] LOG:  checkpoint starting: time
1464711524.740 2016-05-31 16:18:44 UTC 3337  [574d85aa.d09:64] LOG:  checkpoint complete: wrote 4 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.453 s, sync=0.000 s, total=0.456 s; sync files=4, longest=0.000 s, average=0.000 s; distance=12 kB, estimate=2162556 kB
1464711824.342 2016-05-31 16:23:44 UTC 3337  [574d85aa.d09:65] LOG:  checkpoint starting: immediate force wait
1464711824.389 2016-05-31 16:23:44 UTC 3337  [574d85aa.d09:66] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.045 s, sync=0.000 s, total=0.047 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=1946300 kB
1464712424.418 2016-05-31 16:33:44 UTC 3337  [574d85aa.d09:67] LOG:  checkpoint starting: time
1464712724.085 2016-05-31 16:38:44 UTC 3337  [574d85aa.d09:68] LOG:  checkpoint complete: wrote 62867 buffers (3.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=299.656 s, sync=0.004 s, total=299.667 s; sync files=21, longest=0.001 s, average=0.000 s; distance=745740 kB, estimate=1826244 kB
1464713024.186 2016-05-31 16:43:44 UTC 3337  [574d85aa.d09:69] LOG:  checkpoint starting: time
1464713324.081 2016-05-31 16:48:44 UTC 3337  [574d85aa.d09:70] LOG:  checkpoint complete: wrote 59845 buffers (2.9%); 0 transaction log file(s) added, 45 removed, 0 recycled; write=299.860 s, sync=0.002 s, total=299.895 s; sync files=17, longest=0.000 s, average=0.000 s; distance=704204 kB, estimate=1714040 kB
1464713624.181 2016-05-31 16:53:44 UTC 3337  [574d85aa.d09:71] LOG:  checkpoint starting: time
1464713625.195 2016-05-31 16:53:45 UTC 3337  [574d85aa.d09:72] LOG:  checkpoint complete: wrote 60239 buffers (2.9%); 0 transaction log file(s) added, 43 removed, 0 recycled; write=0.986 s, sync=0.001 s, total=1.014 s; sync files=16, longest=0.000 s, average=0.000 s; distance=619696 kB, estimate=1604606 kB
1464713625.195 2016-05-31 16:53:45 UTC 3337  [574d85aa.d09:73] LOG:  checkpoint starting: immediate force wait
1464713625.298 2016-05-31 16:53:45 UTC 3337  [574d85aa.d09:74] LOG:  checkpoint complete: wrote 34 buffers (0.0%); 0 transaction log file(s) added, 14 removed, 24 recycled; write=0.061 s, sync=0.000 s, total=0.102 s; sync files=4, longest=0.000 s, average=0.000 s; distance=3881 kB, estimate=1444533 kB
1464714225.398 2016-05-31 17:03:45 UTC 3337  [574d85aa.d09:75] LOG:  checkpoint starting: time
1464714525.073 2016-05-31 17:08:45 UTC 3337  [574d85aa.d09:76] LOG:  checkpoint complete: wrote 57833 buffers (2.8%); 0 transaction log file(s) added, 0 removed, 1 recycled; write=299.670 s, sync=0.000 s, total=299.674 s; sync files=12, longest=0.000 s, average=0.000 s; distance=391897 kB, estimate=1339270 kB
1464714525.480 2016-05-31 17:08:45 UTC 3337  [574d85aa.d09:77] LOG:  checkpoint starting: immediate force wait
1464714525.580 2016-05-31 17:08:45 UTC 3337  [574d85aa.d09:78] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 23 recycled; write=0.061 s, sync=0.000 s, total=0.099 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=1205343 kB
1464715125.684 2016-05-31 17:18:45 UTC 3337  [574d85aa.d09:79] LOG:  checkpoint starting: time
1464715425.119 2016-05-31 17:23:45 UTC 3337  [574d85aa.d09:80] LOG:  checkpoint complete: wrote 108206 buffers (5.2%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=299.388 s, sync=0.007 s, total=299.435 s; sync files=20, longest=0.005 s, average=0.000 s; distance=3480389 kB, estimate=3480389 kB
1464715725.221 2016-05-31 17:28:45 UTC 3337  [574d85aa.d09:81] LOG:  checkpoint starting: time
1464716025.252 2016-05-31 17:33:45 UTC 3337  [574d85aa.d09:82] LOG:  checkpoint complete: wrote 109216 buffers (5.2%); 0 transaction log file(s) added, 0 removed, 213 recycled; write=299.857 s, sync=0.003 s, total=300.030 s; sync files=17, longest=0.001 s, average=0.000 s; distance=3428602 kB, estimate=3475211 kB
1464716325.355 2016-05-31 17:38:45 UTC 3337  [574d85aa.d09:83] LOG:  checkpoint starting: time
1464716327.203 2016-05-31 17:38:47 UTC 3337  [574d85aa.d09:84] LOG:  checkpoint complete: wrote 114743 buffers (5.5%); 0 transaction log file(s) added, 0 removed, 209 recycled; write=1.608 s, sync=0.001 s, total=1.847 s; sync files=18, longest=0.000 s, average=0.000 s; distance=3408420 kB, estimate=3468532 kB
1464716327.204 2016-05-31 17:38:47 UTC 3337  [574d85aa.d09:85] LOG:  checkpoint starting: immediate force wait
1464716327.545 2016-05-31 17:38:47 UTC 3337  [574d85aa.d09:86] LOG:  checkpoint complete: wrote 261 buffers (0.0%); 0 transaction log file(s) added, 13 removed, 195 recycled; write=0.069 s, sync=0.000 s, total=0.341 s; sync files=5, longest=0.000 s, average=0.000 s; distance=29766 kB, estimate=3124655 kB
1464716927.645 2016-05-31 17:48:47 UTC 3337  [574d85aa.d09:87] LOG:  checkpoint starting: time
1464717227.069 2016-05-31 17:53:47 UTC 3337  [574d85aa.d09:88] LOG:  checkpoint complete: wrote 59882 buffers (2.9%); 0 transaction log file(s) added, 2 removed, 0 recycled; write=299.418 s, sync=0.001 s, total=299.423 s; sync files=15, longest=0.000 s, average=0.000 s; distance=403076 kB, estimate=2852497 kB
1464717228.282 2016-05-31 17:53:48 UTC 3337  [574d85aa.d09:89] LOG:  checkpoint starting: immediate force wait
1464717228.380 2016-05-31 17:53:48 UTC 3337  [574d85aa.d09:90] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 13 removed, 12 recycled; write=0.064 s, sync=0.000 s, total=0.097 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=2567247 kB
1464717828.484 2016-05-31 18:03:48 UTC 3337  [574d85aa.d09:91] LOG:  checkpoint starting: time
1464718128.120 2016-05-31 18:08:48 UTC 3337  [574d85aa.d09:92] LOG:  checkpoint complete: wrote 113460 buffers (5.4%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=299.587 s, sync=0.005 s, total=299.636 s; sync files=20, longest=0.002 s, average=0.000 s; distance=3930639 kB, estimate=3930639 kB
1464718428.220 2016-05-31 18:13:48 UTC 3337  [574d85aa.d09:93] LOG:  checkpoint starting: time
1464718728.214 2016-05-31 18:18:48 UTC 3337  [574d85aa.d09:94] LOG:  checkpoint complete: wrote 116698 buffers (5.6%); 0 transaction log file(s) added, 0 removed, 240 recycled; write=299.818 s, sync=0.011 s, total=299.994 s; sync files=18, longest=0.006 s, average=0.000 s; distance=3944162 kB, estimate=3944162 kB
1464719028.315 2016-05-31 18:23:48 UTC 3337  [574d85aa.d09:95] LOG:  checkpoint starting: time
1464719030.265 2016-05-31 18:23:50 UTC 3337  [574d85aa.d09:96] LOG:  checkpoint complete: wrote 124679 buffers (5.9%); 0 transaction log file(s) added, 0 removed, 240 recycled; write=1.622 s, sync=0.001 s, total=1.949 s; sync files=18, longest=0.000 s, average=0.000 s; distance=3933377 kB, estimate=3943084 kB
1464719030.265 2016-05-31 18:23:50 UTC 3337  [574d85aa.d09:97] LOG:  checkpoint starting: immediate force wait
1464719030.722 2016-05-31 18:23:50 UTC 3337  [574d85aa.d09:98] LOG:  checkpoint complete: wrote 28 buffers (0.0%); 0 transaction log file(s) added, 15 removed, 225 recycled; write=0.053 s, sync=0.000 s, total=0.457 s; sync files=2, longest=0.000 s, average=0.000 s; distance=12493 kB, estimate=3550025 kB
1464719630.737 2016-05-31 18:33:50 UTC 3337  [574d85aa.d09:99] LOG:  checkpoint starting: time
1464719930.100 2016-05-31 18:38:50 UTC 3337  [574d85aa.d09:100] LOG:  checkpoint complete: wrote 60206 buffers (2.9%); 0 transaction log file(s) added, 1 removed, 0 recycled; write=299.358 s, sync=0.001 s, total=299.363 s; sync files=15, longest=0.000 s, average=0.000 s; distance=397743 kB, estimate=3234796 kB
1464719931.473 2016-05-31 18:38:51 UTC 3337  [574d85aa.d09:101] LOG:  checkpoint starting: immediate force wait
1464719931.547 2016-05-31 18:38:51 UTC 3337  [574d85aa.d09:102] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 24 removed, 0 recycled; write=0.057 s, sync=0.000 s, total=0.073 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=2911317 kB
1464720531.649 2016-05-31 18:48:51 UTC 3337  [574d85aa.d09:103] LOG:  checkpoint starting: time
1464720831.048 2016-05-31 18:53:51 UTC 3337  [574d85aa.d09:104] LOG:  checkpoint complete: wrote 112424 buffers (5.4%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=299.351 s, sync=0.006 s, total=299.398 s; sync files=20, longest=0.005 s, average=0.000 s; distance=4063237 kB, estimate=4063237 kB
1464721131.149 2016-05-31 18:58:51 UTC 3337  [574d85aa.d09:105] LOG:  checkpoint starting: time
1464721431.175 2016-05-31 19:03:51 UTC 3337  [574d85aa.d09:106] LOG:  checkpoint complete: wrote 115675 buffers (5.5%); 0 transaction log file(s) added, 0 removed, 248 recycled; write=299.845 s, sync=0.001 s, total=300.026 s; sync files=18, longest=0.000 s, average=0.000 s; distance=4062784 kB, estimate=4063191 kB
1464721731.277 2016-05-31 19:08:51 UTC 3337  [574d85aa.d09:107] LOG:  checkpoint starting: time
1464721732.252 2016-05-31 19:08:52 UTC 3337  [574d85aa.d09:108] LOG:  checkpoint complete: wrote 1404 buffers (0.1%); 0 transaction log file(s) added, 0 removed, 248 recycled; write=0.650 s, sync=0.000 s, total=0.975 s; sync files=0, longest=0.000 s, average=0.000 s; distance=4074284 kB, estimate=4074284 kB
1464721732.252 2016-05-31 19:08:52 UTC 3337  [574d85aa.d09:109] LOG:  checkpoint starting: immediate force wait
1464721732.750 2016-05-31 19:08:52 UTC 3337  [574d85aa.d09:110] LOG:  checkpoint complete: wrote 1 buffers (0.0%); 0 transaction log file(s) added, 15 removed, 234 recycled; write=0.079 s, sync=0.000 s, total=0.497 s; sync files=1, longest=0.000 s, average=0.000 s; distance=37415 kB, estimate=3670597 kB
1464721733.277 2016-05-31 19:08:53 UTC 3337  [574d85aa.d09:111] LOG:  checkpoint starting: immediate force wait flush-all
1464721733.336 2016-05-31 19:08:53 UTC 3337  [574d85aa.d09:112] LOG:  checkpoint complete: wrote 3 buffers (0.0%); 0 transaction log file(s) added, 2 removed, 0 recycled; write=0.052 s, sync=0.000 s, total=0.058 s; sync files=3, longest=0.000 s, average=0.000 s; distance=2 kB, estimate=3303538 kB
1464721733.412 2016-05-31 19:08:53 UTC 3337  [574d85aa.d09:113] LOG:  checkpoint starting: immediate force wait
1464721733.463 2016-05-31 19:08:53 UTC 3337  [574d85aa.d09:114] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.049 s, sync=0.000 s, total=0.051 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=2973184 kB
1464722333.578 2016-05-31 19:18:53 UTC 3337  [574d85aa.d09:115] LOG:  checkpoint starting: time
1464722545.985 2016-05-31 19:22:25 UTC 3337  [574d85aa.d09:116] LOG:  checkpoint complete: wrote 2123 buffers (0.1%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=212.401 s, sync=0.003 s, total=212.407 s; sync files=44, longest=0.000 s, average=0.000 s; distance=3310 kB, estimate=2676197 kB
1464722640.158 2016-05-31 19:24:00 UTC 3337  [574d85aa.d09:117] LOG:  checkpoint starting: immediate force wait
1464722640.209 2016-05-31 19:24:00 UTC 3337  [574d85aa.d09:118] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.048 s, sync=0.000 s, total=0.050 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=2408577 kB
1464723240.309 2016-05-31 19:34:00 UTC 3337  [574d85aa.d09:119] LOG:  checkpoint starting: time
1464723240.766 2016-05-31 19:34:00 UTC 3337  [574d85aa.d09:120] LOG:  checkpoint complete: wrote 4 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.453 s, sync=0.000 s, total=0.457 s; sync files=4, longest=0.000 s, average=0.000 s; distance=12 kB, estimate=2167720 kB
1464723540.357 2016-05-31 19:39:00 UTC 3337  [574d85aa.d09:121] LOG:  checkpoint starting: immediate force wait
1464723540.411 2016-05-31 19:39:00 UTC 3337  [574d85aa.d09:122] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.052 s, sync=0.000 s, total=0.054 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=1950948 kB
1464724140.502 2016-05-31 19:49:00 UTC 3337  [574d85aa.d09:123] LOG:  checkpoint starting: time
1464724440.049 2016-05-31 19:54:00 UTC 3337  [574d85aa.d09:124] LOG:  checkpoint complete: wrote 62192 buffers (3.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=299.539 s, sync=0.001 s, total=299.547 s; sync files=21, longest=0.001 s, average=0.000 s; distance=701051 kB, estimate=1825959 kB
1464724740.150 2016-05-31 19:59:00 UTC 3337  [574d85aa.d09:125] LOG:  checkpoint starting: time
